Company,Former / alternate names,Website,Brief Description,Company type,B2B/B2C,Protein category,Company focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State/Province (Non-U.S.),HQ City,Year founded,Founders,Company email,Parent company,Link to parent company's record,Link to subsidiary/brand,Articles in Marketing & Media,_merge,Cheese,Other dairy,Both cheese and other dairy,Neither cheese nor other dairy
21st-bio,,https://21st.bio/,"Established as a fully integrated end-to-end partner, 21st.BIO supports its customers from technical assessment, strain development and optimization, production processes and upscaling, tech transfer to large scale manufacturing and regulatory services. ",Specialized (focused on alternative proteins),B2B,Precision fermentation,"Eggs,Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing","Host strain development,Bioprocess design",['Ingredients'],Other,,Europe,Denmark,,Søborg,2020,"Thomas Schmidt, CEO, and Per Falholt, CSO",info@21st.bio,,,,,left_only,0,0,0,1
3d-bio-tissues,,https://www.3dbiotissues.com/,"U.K.-based research entity aimed at improving tissue engineering using in-house engineering platform ""Tissue Templating,"" producing human skin, human cornea, and lab-grown meat.",Diversified,B2B,"Cultivated,Traditional fermentation",Ingredients and inputs,"Bioprocess design,End product formulation and manufacturing,Scaffolding and structure,Cell culture media",['Whole muscle meat/seafood'],Pork,,Europe,United Kingdom,,Newcastle,2019,Che Connon and Ricardo Gouveia,info@3dbiotissues.com,,,,,left_only,0,0,0,1
4u-free-from,,https://4ufreefrom.com/en/,"Spain-based company producing a variety of vegan ice creams and sorbets, all free from six major allergens.",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,,Europe,Spain,,Alicante,2019,,info@4ufreefrom.com,Grupo Alacant,,,,left_only,0,1,0,0
5yes,,https://www.5yes.ru/,Russia-based producer of plant-based milks and desserts.,Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,End product formulation and manufacturing,"['Milk', 'Other dairy']",,"Coconut,Almond,Oat,Hazelnut",Europe,Russia,,,2021,,info@5yes.ru,,,,,left_only,0,1,0,0
aak,,https://www.aak.com/akoplanet,Makers of plant-based oil ingredients for meat and cheese alternatives and other products.,Specialized (focused on alternative proteins),B2B,Plant-based,Ingredients and inputs,Ingredient optimization,['Oils and fats'],,"Canola,Coconut,Palm,Sunflower,Flaxseed,Soy","Europe,Latin America,Africa/Middle East,Asia Pacific,Australia/New Zealand",Sweden,,Malmö,2005,,info@aak.com,,,,,left_only,0,0,0,1
aardaia,,www.aardaia.com,EU based company domesticating a new protein crop for fresh market and the ingredient market. ,Diversified,B2B,Plant-based,Ingredients and inputs,"Crop development,Ingredient optimization",['Ingredients'],,Potato,Europe,Netherlands,,Wageningen,2023,Pádraic Flood,info@aardaia.com,,,,,left_only,0,0,0,1
abbots-butcher,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
aber-instruments,,http://www.aberinstruments.com/,"UK-based biotech manufacturer of on-line proves for measuring or counting live cell concentration in fermenters, cell culture bioreactors, and brewing applications.",Diversified,B2B,"Cultivated,Precision fermentation,Fermentation-derived,Biomass fermentation",Bioprocessing infrastructure and equipment,Bioprocess design,['Other'],,,"Europe,United States and Canada",United Kingdom,,Aberystwyth,1988,,,,,,,left_only,0,0,0,1
aberyne,,www.aberyne.com,Produces a 100% plant-based alternative to foie gras.,Specialized (focused on alternative proteins),"B2B,B2C",Plant-based,Meat,End product formulation and manufacturing,"['Other meat/seafood', 'Whole muscle meat/seafood']",Duck,"Cashew,Coconut",Europe,France,,Biarritz,2023,Mikel Abeberry,contact@aberyne.com,,,,,left_only,0,0,0,1
acayu,,https://acayu-foods.com/,"Plant-based cheese company crafting a range of organic, healthy, sustainable cheeses. ",Specialized (focused on alternative proteins),B2B,"Plant-based,Fermentation-derived",Dairy,End product formulation and manufacturing,['Cheese'],,Cashew,Europe,Portugal,Algarve,Aljezur,2020,Raz Swissa and Moti Nagar,info@acayu-foods.com,,,,,left_only,1,0,0,0
accro,,https://accro.fr/,"ACCRO sells a range of 100% plant-based alternatives, made in France, made from pea and wheat protein, easy to use in all your recipes.",Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood']","Beef/veal,Chicken,Pork","Pea,Wheat",Europe,France,Hauts-de-France,Vitry-en-Artois,2021,,,,,,,left_only,0,0,0,1
adamo-foods,,https://www.adamofoods.com/,UK-based company working on fungi-based steak.,Specialized (focused on alternative proteins),B2C,Biomass fermentation,Meat,End product formulation and manufacturing,['Whole muscle meat/seafood'],Beef/veal,Mycelium,Europe,United Kingdom,,London,2022,Pierre Dupuis,contact@adamofoods.com,,,,,left_only,0,0,0,1
adaptyv-bio,,https://www.adaptyvbio.com,,Diversified,B2B,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,[''],,,Europe,Switzerland,,,2020,,,,,,,left_only,0,0,0,1
adidas,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
adolf-kuhner-ag,,https://kuhner.com/en/,"Adolf Kühner AG is a science-first shaker manufacturer renowned worldwide for its uncompromising shakers, incubator shakers, and orbital shaken bioreactors. From bench top shakers to large scale industrial shaking machines, we offer machines of the highest quality.",Diversified,B2B,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,[''],,,"Europe,Latin America,Australia/New Zealand,Asia Pacific,Africa/Middle East,United States and Canada",Switzerland,,Basel,1949,Adolf Kühner,office@kuhner.com,,,,,left_only,0,0,0,1
agrenvec,,https://www.agrenvec.es/,Molecular farming company developing recombinant protein for plant-based manufacturing and growth factors for cultivated meat. ,Diversified,B2B,"Plant-based,Cultivated,Plant molecular farming",Ingredients and inputs,"Cell culture media,Target molecule selection,Bioprocess design",['Ingredients'],,,Europe,Spain,Madrid,Tres Cantos,2002,,info@agrenvec.es,,,,,left_only,0,0,0,1
agrifoodtrade,,https://agrifoodtrade.com/,"Netherlands based pulses specialist, keeping NL stocks of whole range dried beans, lentils, peas and chickpeas both organic and conventional.",Diversified,B2B,Plant-based,Ingredients and inputs,,['Ingredients'],,"Fava bean,Kidney bean,White bean,Lentils,Peanut,Walnut,Hazelnut,Coconut,Rice,Quinoa",Europe,Netherlands,,Overberg,2006,W. B. van Os,info@agrifoodtrade.com,Oxenhill BV,,,,left_only,0,0,0,1
ah-terra,,https://www.ah.nl/producten/merk/ah-terra,"Albert Heijn's plant-based private label brand that includes plant-based milk, cheese slices, margarine, seafood, vegetable spreads, snacks, and appetizers.",Specialized (focused on alternative proteins),B2C,Plant-based,"Meat,Dairy,Seafood",End product formulation and manufacturing,"['Whole muscle meat/seafood', 'Ground meat/seafood', 'Other meat/seafood', 'Milk', 'Cheese', 'Other dairy']","Beef/veal,Chicken,Pork,Other fish","Soy,Pea,Wheat,Coconut,Almond,Rice,Oat",Europe,Netherlands,,,1887,,,Albert Heijn ,,,,left_only,1,1,1,0
ahimsa,,https://www.ecologicosahimsa.com/en/,Spanish company that produces a variety of plant-based meats and prepared meals along with tofu and seitan.,Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Other', 'Ground meat/seafood']",Pork,"Soy,Wheat",Europe,Spain,,Zaragoza,1989,,info@ecologicosahimsa.com,,,,,left_only,0,0,0,1
aio,,https://aio.bio/,"Estonian start-up producing alternatives to animal fats, palm oil and coconut oil using microbial lipid production.",Specialized (focused on alternative proteins),B2B,Precision fermentation,Ingredients and inputs,"Ingredient optimization,Bioprocess design",['Oils and fats'],,,Europe,Estonia,,Tallinn,2022,"Nemailla Bonturi, Petri-Jaan Lahtvee",info@aio.bio,,,,,left_only,0,0,0,1
aivia,,https://aivia.ro/,"Produces vegan sausage, ham, salami in Romania. 
",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],"Beef/veal,Pork","Soy,Potato,Mushrooms,Pea",Europe,Romania,Arad,Arad,2012,,comenzi@aivia.ro,,,,,left_only,0,0,0,1
albert-heijn,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
alberts,Purvegan,https://www.purvegan.de/,"alberts makes plant-based meat from Lupine, including steak, burgers, sausages, fillets, schnitzel, and gyros. ",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Other meat/seafood'],"Pork,Beef/veal,Chicken,Mutton/lamb","Lupine,Wheat,Soy",Europe,Germany,Rhineland-Palatinate,Ramsen,2012,Albert Hess,info@purvegan.de,,,,,left_only,0,0,0,1
aldi,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
algama-foods,Update Foods,http://algamafoods.com/,"Platform for microalgae-based plant-based foods and ingredients (including egg, seafood, meat, and dairy replacements)",Specialized (focused on alternative proteins),"B2C,B2B",Biomass fermentation,"Food processing infrastructure and equipment,Contract manufacturing/processing,Seafood,Ingredients and inputs","End product formulation and manufacturing,Bioprocess design,Ingredient optimization","['Ground meat/seafood', 'Eggs', 'Other', 'Ingredients']",Tuna,"Algae,Microalgae",Europe,France,,Paris,2013,Alvyn Severien and Gaëtan Gohin,,,,,,left_only,0,0,0,1
algenuity,,https://www.algenuity.com/,UK-based company that provides microalgae-based solutions for use in the plant-based food sector. ,Specialized (focused on alternative proteins),B2B,"Plant-based,Biomass fermentation",Ingredients and inputs,"Ingredient optimization,Bioprocess design",['Ingredients'],,"Algae,Microalgae",Europe,United Kingdom,,Bedfordshire,2009,Andrew Spicer and Timothy Alavosus,info@algenuity.com,,,,,left_only,0,0,0,1
alghetica,,https://www.alghetica.com/,Uses microalgae as a platform to produce food and pharma ingredients via mobile photobioreactors that are designed to capture atmospheric CO2. The process is continuously optimized through AI and machine learning technology.,Diversified,B2B,Biomass fermentation,Ingredients and inputs,Ingredient optimization,[''],,"Algae,Microalgae,CO2",Europe,Italy,,Verona,2021,Anthony Rosa,algheticasrl@pec.it,,,,,left_only,0,0,0,1
algiknit,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
alimentos-sanygran,Sanygran,https://sanygran.com/es/,"Spanish company offering plant-based products and ingredients, as well as processing services.",Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,"Meat,Ingredients and inputs,Contract manufacturing/processing","Ingredient optimization,End product formulation and manufacturing","['Ground meat/seafood', 'Other meat/seafood', 'Ingredients']","Beef/veal,Chicken,Pork,Duck,Mutton/lamb","Pea,Soy,Fava bean",Europe,Spain,,Tudela,2010,Julio Marcó and Eugenio Alonso,info@sanygran.com,,,,,left_only,0,0,0,1
all-organic-treasures,AOT,https://www.all-organic-treasures.com/food.html,"German plant-based ingredient company, produces various plant-based proteins, oils, and fats.",Diversified,B2B,Plant-based,Ingredients and inputs,Ingredient optimization,"['Ingredients', 'Oils and fats']",,"Sunflower,Soy,Almond,Wheat,Rice,Pea,Oat,Coconut,Cashew,Hemp,Fava bean,Hazelnut,Macadamia,Linseed,Peanut,Pistachio,Pumpkin,Rapeseed,Walnut",Europe,Germany,Bavaria,Wiggensbach,2003,Hans-Martin Breisinger,info@aot.de,,,,,left_only,0,0,0,1
allbiotech,,https://allbiotech.eu/,"Company that builds more accessible, efficient bioreactors for the alternative proteins value chain.",Specialized (focused on alternative proteins),B2B,Precision fermentation,Bioprocessing infrastructure and equipment,Bioprocess design,[''],,,Europe,Spain,Navarre,Pamplona,2024,Pablo Goñi,info@allbiotech.eu,,,,,left_only,0,0,0,1
allplants,,,,,,,,,[''],,,,,,,,,,,,,4.0,right_only,0,0,0,1
alpha-foods,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
alphorn-venture-partners,,,,Diversified,,Plant-based,Contract manufacturing/processing,,[''],,,Europe,Switzerland,,,,,,,,,,left_only,0,0,0,1
